Food Type,Name,Opening Hours,Google Maps Link
福建面,Classic Hokkien Mee,Mon 07:00-12:00; Tue Closed; Wed 07:00-12:00; Thu 07:00-12:00; Fri 07:00-12:00; Sat 07:00-12:00; Sun 07:00-12:00,"https://www.google.com/maps/place/Classic+Hokkien+Mee/@5.4135784,100.3159955,17z/data=!3m1!4b1!4m6!3m5!1s0x304ac3b780989443:0xb9bf6dc675aeada4!8m2!3d5.4135784!4d100.3159955!16s/g/1pzqbw5_z?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw=="
,Hokkien Mee LoR Mee,Mon 15:00-22:47; Tue 15:00-22:47; Wed 15:00-22:47; Thu 15:00-22:47; Fri 15:00-22:47; Sat 15:00-22:47; Sun 15:00-22:47,"https://www.google.com/maps/place/Hokkien+Mee+LoR+Mee/@5.3896446,100.31005,17z/data=!3m1!4b1!4m6!3m5!1s0x304ac1995e5df175:0x15cf2ef71a75a007!8m2!3d5.3896446!4d100.3126303!16s/g/11tk8q65dv?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw=="
,Oh Lay Ee Hokkien Mee,Mon 05:00-11:40; Tue Closed; Wed 05:00-11:40; Thu 05:00-11:40; Fri 05:00-11:40; Sat 05:00-11:40; Sun 05:00-11:40,"https://www.google.com/maps/place/Oh+Lay+Ee+Hokkien+Mee/@5.4099037,100.3325998,17z/data=!3m1!4b1!4m6!3m5!1s0x304ac394b2893ac3:0x3ef69ff0432f9062!8m2!3d5.4099037!4d100.3325998!16s/g/11b7q24blp?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw=="
,Penang Hokkien Prawn Mee 槟城福建虾面/卤面,Mon 18:00-01:00; Tue 18:00-01:00; Wed 18:00-01:00; Thu 18:00-01:00; Fri 18:00-02:00; Sat 18:00-02:00; Sun 18:00-01:00,"https://www.google.com/maps/place/Penang+Hokkien+Prawn+Mee+槟城福建虾面/卤面/@5.4109078,100.3256474,17z/data=!3m1!4b1!4m6!3m5!1s0x304ac3007ca79405:0xe72d9cd0cb3c8e3e!8m2!3d5.4109078!4d100.3282277!16s/g/11yp6fkp36?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw=="
,T&T Prawn Mee Shop,Mon 07:30-14:30; Tue 07:30-14:30; Wed Closed; Thu 07:30-14:30; Fri 07:30-14:30; Sat 07:30-14:30; Sun 07:30-14:30,"https://www.google.com/maps/place/T&T+Prawn+Mee+Shop/@5.4165371,100.3245884,17z/data=!3m1!4b1!4m6!3m5!1s0x304ac3bdcad37799:0xd5ea1f3abef329f7!8m2!3d5.4165371!4d100.3245884!16s/g/1tk3d9ct?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw=="
,三條路888福建面,Mon 15:00-21:30; Tue 15:00-21:30; Wed 15:00-21:30; Thu Closed; Fri 15:00-21:30; Sat 15:00-21:30; Sun 15:00-21:30,"https://www.google.com/maps/place/三條路888福建面/@5.411117,100.3306767,17z/data=!3m1!4b1!4m6!3m5!1s0x304ac394dec9975f:0xeb45b4941686a367!8m2!3d5.411117!4d100.3306767!16s/g/12qgfwt_q?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw=="
,正宗橋頭福建蝦麵,Mon Closed; Tue 07:00-14:30; Wed 07:00-14:30; Thu 07:00-14:30; Fri 07:00-14:30; Sat 07:00-13:30; Sun 07:00-12:30,"https://www.google.com/maps/place/正宗橋頭福建蝦麵/@5.3846075,100.2678356,13z/data=!4m6!3m5!1s0x304ac3936e5c7535:0x9d324735c9ef3d49!8m2!3d5.4118203!4d100.3339541!16s/g/11bvt2jlt2?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw=="
,Dannok cafe,Mon 07:45-14:00; Tue 07:45-14:00; Wed 07:45-14:00; Thu Closed; Fri 07:45-14:00; Sat 07:45-14:00; Sun 07:45-14:00,"https://www.google.com/maps/place/Dannok+cafe/@5.413346,100.323443,17z/data=!3m1!4b1!4m6!3m5!1s0x304ac3e2f2044109:0x90058d8853a269ed!8m2!3d5.413346!4d100.323443!16s/g/11fk_l1v6_?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw=="
Laksa,Assam Laksa,Mon Closed; Tue 12:00-17:00; Wed 12:00-17:00; Thu 12:00-17:00; Fri 12:00-17:00; Sat 12:00-17:00; Sun 12:00-17:00,"https://www.google.com/maps/place/Assam+Laksa/@5.4028763,100.3146799,18z/data=!4m6!3m5!1s0x304ac3cf61288119:0xf84651bd8fe0a9d5!8m2!3d5.4037219!4d100.315799!16s/g/11ddx1l4qg?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw=="
,Granny Q Lemak Laksa,Mon Closed; Tue 07:30-14:00; Wed 07:30-14:00; Thu 07:30-14:00; Fri 07:30-14:00; Sat 07:30-14:00; Sun 07:30-14:00,"https://www.google.com/maps/place/Granny+Q+Lemak+Laksa/@5.4301174,100.3123986,17z/data=!3m1!4b1!4m6!3m5!1s0x304ac3e2c312c753:0x4b50d5520d7b077e!8m2!3d5.4301174!4d100.3123986!16s/g/11t16wj6r_?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw=="
